313	703	41600	134
14605	24748	39600	191
32681	49715	39000	117
8330	16006	38300	58
8128	15694	37400	143
4428	10310	35460	258
2768	7521	35340	131
13482	23140	34900	154
1706	4808	34520	170
4912	11213	33300	187
9439	17557	32700	104
1469	4134	32500	568
10159	18595	32400	152
42938	197233	32400	136
1666	4750	31226	87
3566	8966	30900	207
4243	10026	30880	360
10633	19222	30200	109
18961	30764	30100	81
4645	10834	30090	294
6177	12989	29500	185
18335	29951	29500	179
1010	2856	26780	381
24903	39182	26330	90
1709	4812	25350	103
27691	42985	25000	120
3892	9498	24500	684
32544	49543	24150	112
2044	5713	24100	125
2519	6910	24100	121
10303	18779	24100	130
25164	39572	24000	67
3409	8708	22800	186
123	209	22340	1898
1116	3216	22200	709
5803	12389	22190	1026
3587	9002	21180	475
1110	3209	20670	235
312	702	20310	367
347	812	20300	162
14743	24955	20300	82
1035	2914	20100	1331
1359	3741	19900	101
1197	3352	19500	328
34490	51960	18200	68
2564	7018	18000	1774
25416	39923	18000	794
28400	43958	18000	140
29528	45528	18000	99
36447	54301	18000	126
40306	59682	18000	84
24657	38842	16700	167
6362	13285	16670	219
14200	24130	16400	113
28036	43477	16210	108
2649	7251	16200	175
981	2764	16000	153
38828	57478	16000	139
6156	12956	15490	1043
35333	52944	15200	122
16710	27699	14000	384
11931	21068	13620	106
43977	198517	13300	176
45650	263034	13200	138
2314	6503	12800	165
943	2687	12400	105
426	1299	12000	2305
3822	9381	12000	85
41924	132137	11400	94
1667	4755	11300	592
7851	15290	11200	234
34477	51944	11000	123
1547	4436	10000	582
11198	20001	9300	178
2710	7385	9000	171
1736	4847	8400	250
33626	50915	7200	198
3659	9121	6800	353
2438	6762	6700	827
20713	33105	6000	156
7759	15169	5900	181
5065	11404	5800	208
1530	4323	5700	1359
11126	19909	5300	183
8660	16509	4900	206
26508	41391	4800	222
2568	7029	4200	462
20651	33028	4100	111
1279	3549	4000	2352
1498	4230	3900	372
34066	51436	3300	148
2945	7843	3200	189
13791	23520	3100	262
8829	16735	3000	315
2231	6327	2900	299
2294	6461	2400	558
11568	20485	2200	1222
1265	3491	2000	1018
6936	14083	1900	146
22268	35320	1800	276
1199	3356	1500	3047
4632	10796	1400	521
3778	9304	1300	280
8039	15557	1300	217
1179	3320	1200	1123
3546	8928	1200	327
30778	47187	1100	115
			
		
