reference_counter AS_NUM Number_of_Nodes Number_of_Ingress 
number_of_as 232
average_num_sources 100

1468	4133	6797972	2
2977	7921	4843992	6
1726	4835	4575718	41
310	699	1845655	5
1674	4765	1580742	19
3078	8149	1442518	3
15943	26598	1007798	1
5758	12321	981708	13
1250	3459	875119	15
15953	26613	628490	16
16709	27697	587880	4
9643	17857	584930	11
13187	22772	582112	30
22600	35818	579538	51
9527	17675	536428	27
2428	6738	528338	12
2479	6846	515688	29
4631	10794	497678	7
13310	22925	472116	24
9404	17505	470496	8
19345	31333	441498	65
4105	9823	438914	44
11197	20000	408498	34
2563	7016	407244	43
1167	3300	367312	66
798	2118	346836	20
1169	3302	330296	89
5077	11426	321474	70
3027	8047	254272	17
37720	56040	238934	88
8483	16231	237918	9
2230	6325	214092	15
3408	8706	197788	10
316	715	194278	18
1546	4434	183778	26
1703	4802	178766	60
24057	37958	168078	21
870	2516	165768	296
6007	12714	161732	142
3898	9505	153762	96
1009	2854	145294	141
4173	9919	143640	35
1702	4800	138820	45
3611	9049	131446	144
12605	22046	120182	33
3511	8880	117750	22
3227	8399	114194	55
1141	3255	108770	180
10797	19435	99800	38
22267	35319	98900	127
1251	3462	97700	147
3191	8342	97600	61
13897	23678	97400	23
7626	14986	97100	47
35455	53079	96300	25
18399	30035	96028	28
19351	31342	95100	73
37721	56041	94370	50
15077	25484	92700	59
797	2116	92100	107
3254	8447	91300	119
17179	28285	91200	14
4684	10912	91100	95
11614	20562	91000	161
1172	3307	90600	71
5061	11398	89400	48
2924	7795	88700	56
28425	43993	87900	100
23246	36646	87430	46
112	174	86900	3900
1613	4637	86600	261
19217	31147	86220	39
18646	30359	85700	36
22740	35993	85370	40
18942	30732	84500	31
24262	38283	84490	57
414	1267	84038	241
19134	31027	82300	164
276	600	81700	118
43997	198540	80500	98
6120	12880	79700	124
3612	9050	79600	226
22162	35176	79400	75
24911	39195	78500	63
6751	13824	77900	54
355	852	76050	220
259	553	75700	53
6109	12859	75700	32
311	701	75520	2510
5810	12404	75200	78
4077	9780	73200	93
3802	9340	73100	42
26373	41200	72000	52
32365	49300	70300	97
3054	8100	69600	83
12857	22367	68780	137
826	2200	68600	69
39038	57734	68600	151
9820	18101	68100	158
6333	13237	68060	150
3788	9318	67670	255
2480	6848	66340	49
37391	55535	66100	91
44023	198570	65100	102
26451	41313	63100	79
6116	12874	62870	254
371	1120	58900	132
24971	39272	58800	110
2492	6866	58600	72
16516	27418	58600	166
403	1239	58070	730
14027	23870	58000	76
1285	3561	56452	273
14934	25257	56400	149
33384	50607	56000	259
15339	25829	54500	205
9492	17621	52888	86
3242	8426	51190	80
2740	7473	50070	402
2706	7366	47164	77
992	2828	45600	663
1142	3257	45100	2148
7920	15388	45000	62
11893	21011	43700	192
45274	262595	42700	64
313	703	41600	134
14605	24748	39600	191
32681	49715	39000	117
8330	16006	38300	58
8128	15694	37400	143
4428	10310	35460	258
2768	7521	35340	131
13482	23140	34900	154
1706	4808	34520	170
4912	11213	33300	187
9439	17557	32700	104
1469	4134	32500	568
10159	18595	32400	152
42938	197233	32400	136
1666	4750	31226	87
3566	8966	30900	207
4243	10026	30880	360
10633	19222	30200	109
18961	30764	30100	81
4645	10834	30090	294
6177	12989	29500	185
18335	29951	29500	179
1010	2856	26780	381
24903	39182	26330	90
1709	4812	25350	103
27691	42985	25000	120
3892	9498	24500	684
32544	49543	24150	112
2044	5713	24100	125
2519	6910	24100	121
10303	18779	24100	130
25164	39572	24000	67
3409	8708	22800	186
123	209	22340	1898
1116	3216	22200	709
5803	12389	22190	1026
3587	9002	21180	475
1110	3209	20670	235
312	702	20310	367
347	812	20300	162
14743	24955	20300	82
1035	2914	20100	1331
1359	3741	19900	101
1197	3352	19500	328
34490	51960	18200	68
2564	7018	18000	1774
25416	39923	18000	794
28400	43958	18000	140
29528	45528	18000	99
36447	54301	18000	126
40306	59682	18000	84
24657	38842	16700	167
6362	13285	16670	219
14200	24130	16400	113
28036	43477	16210	108
2649	7251	16200	175
981	2764	16000	153
38828	57478	16000	139
6156	12956	15490	1043
35333	52944	15200	122
16710	27699	14000	384
11931	21068	13620	106
43977	198517	13300	176
45650	263034	13200	138
2314	6503	12800	165
943	2687	12400	105
426	1299	12000	2305
3822	9381	12000	85
41924	132137	11400	94
1667	4755	11300	592
7851	15290	11200	234
34477	51944	11000	123
1547	4436	10000	582
11198	20001	9300	178
2710	7385	9000	171
1736	4847	8400	250
33626	50915	7200	198
3659	9121	6800	353
2438	6762	6700	827
20713	33105	6000	156
7759	15169	5900	181
5065	11404	5800	208
1530	4323	5700	1359
11126	19909	5300	183
8660	16509	4900	206
26508	41391	4800	222
2568	7029	4200	462
20651	33028	4100	111
1279	3549	4000	2352
1498	4230	3900	372
34066	51436	3300	148
2945	7843	3200	189
13791	23520	3100	262
8829	16735	3000	315
2231	6327	2900	299
2294	6461	2400	558
11568	20485	2200	1222
1265	3491	2000	1018
6936	14083	1900	146
22268	35320	1800	276
1199	3356	1500	3047
4632	10796	1400	521
3778	9304	1300	280
8039	15557	1300	217
1179	3320	1200	1123
3546	8928	1200	327
30778	47187	1100	115
			
		
